Glacier_ID,Area_km2,ELA_Altitude_m
RGI2000-v7.0-G-01-17616,3.38,1073.17
RGI2000-v7.0-G-01-17623,2.95,1042.94
RGI2000-v7.0-G-01-17628,2.0,1147.22
RGI2000-v7.0-G-01-17632,5.32,1085.85
RGI2000-v7.0-G-01-17637,1.17,1076.29
RGI2000-v7.0-G-01-17641,1.23,1183.27
RGI2000-v7.0-G-01-17643,1.8,996.3
RGI2000-v7.0-G-01-17645,2.6,1185.92
RGI2000-v7.0-G-01-17648,1.08,1184.32
RGI2000-v7.0-G-01-17659,1.25,1162.78
RGI2000-v7.0-G-01-17661,1.89,1125.82
RGI2000-v7.0-G-01-17692,4.56,1159.98
RGI2000-v7.0-G-01-17694,1.9,1097.23
RGI2000-v7.0-G-01-17708,1.97,1149.71
RGI2000-v7.0-G-01-17713,1.56,1272.12
RGI2000-v7.0-G-01-17716,2.78,1165.58
RGI2000-v7.0-G-01-17732,2.34,577.95
RGI2000-v7.0-G-01-17734,2.28,953.85
RGI2000-v7.0-G-01-17736,2.34,1017.34
RGI2000-v7.0-G-01-17756,1.28,1034.49
RGI2000-v7.0-G-01-17758,3.26,1053.26
RGI2000-v7.0-G-01-17776,2.11,817.5
RGI2000-v7.0-G-01-17778,2.88,147.17
RGI2000-v7.0-G-01-17779,2.84,201.63
RGI2000-v7.0-G-01-17815,1.22,1117.45
RGI2000-v7.0-G-01-17819,2.57,1267.28
RGI2000-v7.0-G-01-17823,32.81,1109.02
RGI2000-v7.0-G-01-17824,1.07,1215.13
RGI2000-v7.0-G-01-17830,40.83,1127.6
RGI2000-v7.0-G-01-17831,1.9,1234.92
RGI2000-v7.0-G-01-17837,1.69,1209.77
RGI2000-v7.0-G-01-17839,5.4,1165.56
RGI2000-v7.0-G-01-17844,80.28,1287.38
RGI2000-v7.0-G-01-17854,3.15,1272.36
RGI2000-v7.0-G-01-17856,4.68,1181.31
RGI2000-v7.0-G-01-17857,1.01,1204.66
RGI2000-v7.0-G-01-17864,2.27,1098.25
RGI2000-v7.0-G-01-17877,114.99,1188.73
RGI2000-v7.0-G-01-17885,1.41,1102.92
RGI2000-v7.0-G-01-17895,113.42,1359.96
RGI2000-v7.0-G-01-17909,1.14,1495.94
RGI2000-v7.0-G-01-17910,100.45,1339.7
RGI2000-v7.0-G-01-17922,2.04,1198.04
RGI2000-v7.0-G-01-17923,3.16,1363.65
RGI2000-v7.0-G-01-17925,2.0,1525.53
RGI2000-v7.0-G-01-17934,1.91,1427.87
RGI2000-v7.0-G-01-17937,2.16,1547.11
RGI2000-v7.0-G-01-17941,1.32,1677.84
RGI2000-v7.0-G-01-18443,4.33,1358.92
RGI2000-v7.0-G-01-18445,2.39,1512.17
RGI2000-v7.0-G-01-18450,1.16,1489.07
RGI2000-v7.0-G-01-18457,7.49,1750.56
RGI2000-v7.0-G-01-18458,11.77,1648.85
RGI2000-v7.0-G-01-18461,3.67,1498.24
RGI2000-v7.0-G-01-18462,1.02,1545.88
RGI2000-v7.0-G-01-18471,1.12,1431.26
RGI2000-v7.0-G-01-18475,1.24,1495.59
RGI2000-v7.0-G-01-18479,1.1,1703.13
RGI2000-v7.0-G-01-18480,1.08,1691.62
RGI2000-v7.0-G-01-18488,1.24,1536.81
RGI2000-v7.0-G-01-18509,1.42,1330.7
RGI2000-v7.0-G-01-18551,4.86,1215.63
RGI2000-v7.0-G-01-18552,1.1,1493.31
RGI2000-v7.0-G-01-18554,1.33,1532.95
RGI2000-v7.0-G-01-18556,1.77,1415.1
RGI2000-v7.0-G-01-18559,1.31,1279.32
RGI2000-v7.0-G-01-18572,1.1,1486.93
RGI2000-v7.0-G-01-18577,2.0,1505.88
RGI2000-v7.0-G-01-18587,1.33,1404.81
RGI2000-v7.0-G-01-18588,1.7,1481.51
RGI2000-v7.0-G-01-18589,1.18,1237.3
RGI2000-v7.0-G-01-18592,2.35,1268.07
RGI2000-v7.0-G-01-18613,1.23,1336.72
RGI2000-v7.0-G-01-18622,2.61,1487.18
RGI2000-v7.0-G-01-18627,1.5,1304.9
RGI2000-v7.0-G-01-18636,1.14,1422.25
RGI2000-v7.0-G-01-18637,1.05,1330.23
RGI2000-v7.0-G-01-18642,5.83,1221.25
RGI2000-v7.0-G-01-18645,8.89,778.33
RGI2000-v7.0-G-01-18646,1.16,1598.98
RGI2000-v7.0-G-01-18652,2.7,1550.1
RGI2000-v7.0-G-01-18653,1.54,1412.45
RGI2000-v7.0-G-01-18657,3.82,1476.82
RGI2000-v7.0-G-01-18667,4.26,1370.28
RGI2000-v7.0-G-01-18670,1.03,1223.44
RGI2000-v7.0-G-01-18673,2.17,1167.66
RGI2000-v7.0-G-01-18684,2.65,1435.63
RGI2000-v7.0-G-01-18685,1.97,1363.04
RGI2000-v7.0-G-01-18686,1.24,1508.56
RGI2000-v7.0-G-01-18687,3.13,1455.69
RGI2000-v7.0-G-01-18694,1.32,1269.45
RGI2000-v7.0-G-01-18697,7.84,1276.76
RGI2000-v7.0-G-01-18701,24.48,1246.05
RGI2000-v7.0-G-01-18706,1.23,1137.47
RGI2000-v7.0-G-01-18719,1.72,1128.59
RGI2000-v7.0-G-01-18736,2.63,1271.71
RGI2000-v7.0-G-01-18738,4.95,1288.84
RGI2000-v7.0-G-01-18740,1.63,1374.5
RGI2000-v7.0-G-01-18742,2.92,1327.26
RGI2000-v7.0-G-01-18751,1.31,1183.27
RGI2000-v7.0-G-01-18754,4.13,1376.45
RGI2000-v7.0-G-01-18756,2.32,1392.09
RGI2000-v7.0-G-01-18761,4.67,1195.89
RGI2000-v7.0-G-01-18766,1.02,1389.4
RGI2000-v7.0-G-01-18768,1.16,1513.48
RGI2000-v7.0-G-01-18770,5.53,1398.79
RGI2000-v7.0-G-01-18771,2.96,1555.0
RGI2000-v7.0-G-01-18772,2.49,1472.76
RGI2000-v7.0-G-01-18775,27.1,1291.61
RGI2000-v7.0-G-01-18790,1.06,1322.32
RGI2000-v7.0-G-01-18793,1.1,1301.76
RGI2000-v7.0-G-01-18798,6.38,1388.12
RGI2000-v7.0-G-01-18800,1.11,1290.18
RGI2000-v7.0-G-01-18801,1.81,1317.81
